MOVIE_TITLE,MOVIE_YEAR,MOVIE_DURATION,MOVIE_RATING,USER_RATING,NUM_VOTES,DESCRIPTION
 The Shawshank Redemption,1994,2h 22m,R,9.3, (3M),"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
 The Godfather,1972,2h 55m,R,9.2, (2.1M),The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
 The Dark Knight,2008,2h 32m,PG-13,9.0, (2.9M),"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
 The Godfather Part II,1974,3h 22m,R,9.0, (1.4M),"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
 12 Angry Men,1957,1h 36m,Approved,9.0, (889K),The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
 The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0, (2M),Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
 Schindler's List,1993,3h 15m,R,9.0, (1.5M),"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
 Pulp Fiction,1994,2h 34m,R,8.9, (2.3M),"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
 The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9, (2.1M),A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
" The Good, the Bad and the Ugly",1966,2h 58m,R,8.8, (828K),A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
 Forrest Gump,1994,2h 22m,PG-13,8.8, (2.3M),"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
 The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8, (1.8M),"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard."
 Fight Club,1999,2h 19m,R,8.8, (2.4M),An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
 Inception,2010,2h 28m,PG-13,8.8, (2.6M),"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
 Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7, (1.4M),"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
 The Matrix,1999,2h 16m,R,8.7, (2.1M),"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
 Goodfellas,1990,2h 25m,R,8.7, (1.3M),"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
 One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7, (1.1M),"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
 Interstellar,2014,2h 49m,PG-13,8.7, (2.2M),"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
 Se7en,1995,2h 7m,R,8.6, (1.8M),"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
 It's a Wonderful Life,1946,2h 10m,PG,8.6, (508K),An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
 Seven Samurai,1954,3h 27m,Not Rated,8.6, (374K),"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
 The Silence of the Lambs,1991,1h 58m,R,8.6, (1.6M),"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
 Saving Private Ryan,1998,2h 49m,R,8.6, (1.5M),"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
 City of God,2002,2h 10m,R,8.6, (816K),"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin."
