MOVIE_TITLE,MOVIE_YEAR,MOVIE_DURATION,MOVIE_RATING,USER_RATING,NUM_VOTES,DESCRIPTION,TOKENS
 The Shawshank Redemption,1994,142,R,9.3,3000000.0,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","['a', 'banker', 'convicted', 'of', 'uxoricide', 'forms', 'friendship', 'over', 'quarter', 'century', 'with', 'hardened', 'convict', 'while', 'maintaining', 'his', 'innocence', 'and', 'trying', 'to', 'remain', 'hopeful', 'through', 'simple', 'compassion']"
 The Godfather,1972,175,R,9.2,2100000.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"['the', 'aging', 'patriarch', 'of', 'an', 'organized', 'crime', 'dynasty', 'transfers', 'control', 'his', 'clandestine', 'empire', 'to', 'reluctant', 'son']"
 The Dark Knight,2008,152,PG-13,9.0,2900000.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","['when', 'a', 'menace', 'known', 'as', 'the', 'joker', 'wreaks', 'havoc', 'and', 'chaos', 'on', 'people', 'of', 'gotham', 'batman', 'james', 'gordon', 'harvey', 'dent', 'must', 'work', 'together', 'to', 'put', 'an', 'end', 'madness']"
 The Godfather Part II,1974,202,R,9.0,1400000.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","['the', 'early', 'life', 'and', 'career', 'of', 'vito', 'corleone', 'in', '1920s', 'new', 'york', 'city', 'is', 'portrayed', 'while', 'his', 'son', 'michael', 'expands', 'tightens', 'grip', 'on', 'family', 'crime', 'syndicate']"
 12 Angry Men,1957,96,Approved,9.0,889000.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"['the', 'jury', 'in', 'a', 'new', 'york', 'city', 'murder', 'trial', 'is', 'frustrated', 'by', 'single', 'member', 'whose', 'skeptical', 'caution', 'forces', 'them', 'to', 'more', 'carefully', 'consider', 'evidence', 'before', 'jumping', 'hasty', 'verdict']"
 The Lord of the Rings: The Return of the King,2003,201,PG-13,9.0,2000000.0,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"['gandalf', 'and', 'aragorn', 'lead', 'the', 'world', 'of', 'men', 'against', 'sauron&aposs', 'army', 'to', 'draw', 'his', 'gaze', 'from', 'frodo', 'sam', 'as', 'they', 'approach', 'mount', 'doom', 'with', 'one', 'ring']"
 Schindler's List,1993,195,R,9.0,1500000.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","['in', 'germanoccupied', 'poland', 'during', 'world', 'war', 'ii', 'industrialist', 'oskar', 'schindler', 'gradually', 'becomes', 'concerned', 'for', 'his', 'jewish', 'workforce', 'after', 'witnessing', 'their', 'persecution', 'by', 'the', 'nazis']"
 Pulp Fiction,1994,154,R,8.9,2300000.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['the', 'lives', 'of', 'two', 'mob', 'hitmen', 'a', 'boxer', 'gangster', 'and', 'his', 'wife', 'pair', 'diner', 'bandits', 'intertwine', 'in', 'four', 'tales', 'violence', 'redemption']"
 The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.9,2100000.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"['a', 'meek', 'hobbit', 'from', 'the', 'shire', 'and', 'eight', 'companions', 'set', 'out', 'on', 'journey', 'to', 'destroy', 'powerful', 'one', 'ring', 'save', 'middleearth', 'dark', 'lord', 'sauron']"
" The Good, the Bad and the Ugly",1966,178,R,8.8,828000.0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"['a', 'bounty', 'hunting', 'scam', 'joins', 'two', 'men', 'in', 'an', 'uneasy', 'alliance', 'against', 'third', 'race', 'to', 'find', 'fortune', 'gold', 'buried', 'remote', 'cemetery']"
