Movie Title,Release Year,Movie Duration,MPA Rating,Audience Rating,Audience Votes,Metascore,Movie Description
 Joker: Folie à Deux,2024,2h 18m,R,5.3, (80K),45,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
 Terrifier 3,2024,2h 5m,Not Rated,7.1, (9.3K),61,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
 The Substance,2024,2h 21m,R,7.7, (57K),78,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself."
 Salem's Lot,2024,1h 54m,R,5.7, (20K),47,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire."
 Beetlejuice Beetlejuice,2024,1h 45m,PG-13,6.9, (77K),62,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
 It's What's Inside,2024,1h 43m,R,6.6, (16K),57,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
 Deadpool & Wolverine,2024,2h 8m,R,7.8, (337K),56,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
 Speak No Evil,2024,1h 50m,R,6.9, (44K),66,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
 The Platform 2,2024,1h 39m,TV-MA,5.0, (23K),45,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity."
 Megalopolis,2024,2h 18m,R,5.0, (15K),55,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of an Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved."
 Joker,2019,2h 2m,R,8.4, (1.5M),59,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
 The Wild Robot,2024,1h 42m,PG,8.4, (28K),85,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
 Wolfs,2024,1h 48m,R,6.5, (40K),60,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job."
 Saturday Night,2024,1h 49m,R,7.4, (4K),63,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975)."
 Beetlejuice,1988,1h 32m,PG,7.5, (381K),71,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
 Terrifier,2016,1h 25m,Unrated,5.6, (64K),,A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.
 Terrifier 2,2022,2h 18m,Not Rated,6.1, (56K),59,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night."
 Hellboy: The Crooked Man,2024,1h 39m,R,4.5, (5.8K),45,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man."
 Daddio,2023,1h 40m,R,6.6, (6.9K),62,A woman taking a cab ride from JFK engages in a conversation with the taxi driver about the important relationships in their lives.
 The Platform,2019,1h 34m,TV-MA,7.0, (291K),73,"In a prison where inmates are fed on a descending platform, those on the upper levels take more than their fair share while those below are left to starve on scraps and one man decides to change the system."
 The Apprentice,2024,2h 2m,R,7.1, (5.1K),64,The story of how a young Donald Trump started his real-estate business in 1970s and '80s New York with the helping hand of infamous lawyer Roy Cohn.
 Caddo Lake,2024,1h 39m,PG-13,6.9, (10K),55,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
 Strange Darling,2023,1h 37m,R,7.2, (19K),80,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.
 Inside Out 2,2024,1h 36m,PG,7.6, (161K),73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
 Blink Twice,2024,1h 42m,R,6.5, (45K),66,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
