Movie Title,Release Year,Movie Duration,MPA Rating,Audience Rating,Audience Votes,Metascore,Movie Description,Tokens
 Joker: Folie à Deux,2024,138,R,5.3,80000.0,45,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.","['struggling', 'with', 'his', 'dual', 'identity', 'failed', 'comedian', 'arthur', 'fleck', 'meets', 'the', 'love', 'of', 'life', 'harley', 'quinn', 'while', 'incarcerated', 'at', 'arkham', 'state', 'hospital']"
 Terrifier 3,2024,125,Not Rated,7.1,9300.0,61,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,"['art', 'the', 'clown', 'is', 'set', 'to', 'unleash', 'chaos', 'on', 'unsuspecting', 'residents', 'of', 'miles', 'county', 'as', 'they', 'peacefully', 'drift', 'off', 'sleep', 'christmas', 'eve']"
 The Substance,2024,141,R,7.7,57000.0,78,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.","['a', 'fading', 'celebrity', 'takes', 'blackmarket', 'drug', 'cellreplicating', 'substance', 'that', 'temporarily', 'creates', 'younger', 'better', 'version', 'of', 'herself']"
 Salem's Lot,2024,114,R,5.7,20000.0,47,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.","['an', 'author', 'returns', 'to', 'his', 'hometown', 'of', 'jerusalems', 'lot', 'in', 'search', 'inspiration', 'for', 'next', 'book', 'only', 'discover', 'that', 'the', 'townspeople', 'are', 'being', 'attacked', 'by', 'a', 'bloodthirsty', 'vampire']"
 Beetlejuice Beetlejuice,2024,105,PG-13,6.9,77000.0,62,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.","['after', 'a', 'family', 'tragedy', 'three', 'generations', 'of', 'the', 'deetz', 'return', 'home', 'to', 'winter', 'river', 'still', 'haunted', 'by', 'beetlejuice', 'lydias', 'life', 'is', 'turned', 'upside', 'down', 'when', 'her', 'teenage', 'daughter', 'astrid', 'accidentally', 'opens', 'portal', 'afterlife']"
 It's What's Inside,2024,103,R,6.6,16000.0,57,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.","['a', 'group', 'of', 'friends', 'gather', 'for', 'prewedding', 'party', 'that', 'descends', 'into', 'an', 'existential', 'nightmare', 'when', 'estranged', 'friend', 'arrives', 'with', 'mysterious', 'game', 'awakens', 'longhidden', 'secrets', 'desires', 'and', 'grudges']"
 Deadpool & Wolverine,2024,128,R,7.8,337000.0,56,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.","['deadpool', 'is', 'offered', 'a', 'place', 'in', 'the', 'marvel', 'cinematic', 'universe', 'by', 'time', 'variance', 'authority', 'but', 'instead', 'recruits', 'variant', 'of', 'wolverine', 'to', 'save', 'his', 'from', 'extinction']"
 Speak No Evil,2024,110,R,6.9,44000.0,66,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.","['a', 'family', 'is', 'invited', 'to', 'spend', 'whole', 'weekend', 'in', 'lonely', 'home', 'the', 'countryside', 'but', 'as', 'progresses', 'they', 'realize', 'that', 'dark', 'side', 'lies', 'within', 'who', 'them']"
 The Platform 2,2024,99,TV-MA,5.0,23000.0,45,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity.","['a', 'thrilling', 'physical', 'journey', 'that', 'allows', 'an', 'approach', 'to', 'the', 'darkness', 'where', 'it', 'is', 'scary', 'look', 'appeals', 'viewers', 'civil', 'responsibility', 'and', 'forces', 'them', 'face', 'limits', 'of', 'their', 'own', 'solidarity']"
 Megalopolis,2024,138,R,5.0,15000.0,55,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of an Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.","['the', 'city', 'of', 'new', 'rome', 'faces', 'duel', 'between', 'cesar', 'catilina', 'a', 'brilliant', 'artist', 'in', 'favor', 'an', 'utopian', 'future', 'and', 'greedy', 'mayor', 'franklyn', 'cicero', 'them', 'is', 'julia', 'with', 'her', 'loyalty', 'divided', 'father', 'beloved']"
